Sentence,Stimulus,Transcription Rater 1,Score,Participant,Rule_Score,LLM_Score,Semantic_Similarity,Divergence_Flag,Reasoning
1.0,Quiero cortarme el pelo,Quiero cortarme mi pelo,3,AutoEIT Sample Transcriptions for Scoring(38006-2A),3,3,0.9965,False,"The learner reproduced most of the words correctly, including the verb 'cortarme' which is a reflexive verb, indicating that the meaning of the original sentence is mostly preserved, but the learner used the pronoun 'mi' instead of the indefinite article 'el' to refer to the hair."
2.0,El libro está en la mesa,El libro [pause] está en la mesa,4,AutoEIT Sample Transcriptions for Scoring(38006-2A),4,3,0.8965,False,"The learner reproduced most of the words correctly, including the crucial phrase 'está en la mesa', which conveys the meaning of the sentence, indicating that the book is on the table."
3.0,El carro lo tiene Pedro,E-[gibberish] perro,1,AutoEIT Sample Transcriptions for Scoring(38006-2A),0,1,0.275,False,"The learner reproduced very few words correct, 'perro' instead of 'carro', and 'Pedro' is not present, meaning mostly lost."
4.0,El se ducha cada mañana,El se lucha cada mañana,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),3,2,0.5281,False,"The learner reproduced some words correctly, but 'lucha' (to fight) does not convey the intended meaning of 'ducha' (to shower), resulting in a partial preservation of meaning."
5.0,¿Qué dice usted que va a hacer hoy?,¿Qué [gibberish] que vas estoy?,1,AutoEIT Sample Transcriptions for Scoring(38006-2A),1,1,0.5088,False,"The learner reproduced very few words correctly, with '¿Qué' being the only recognizable word, and the rest of the sentence is mostly lost in meaning."
6.0,Dudo que sepa manejar muy bien,Dudo que sepa ma-mastar tan bien (tambien?),2,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,3,0.607,False,"The learner reproduced most of the words correctly, including the key phrase 'dudo que sepa', and preserved the meaning of the sentence, although there was a slight variation in the verb 'manejar' and the adverb 'muy bien' was replaced with 'tan bien'."
7.0,Las calles de esta ciudad son muy anchas,Las calles..es-[gibberish]...,1,AutoEIT Sample Transcriptions for Scoring(38006-2A),0,1,0.5222,False,"The learner reproduced very few words correctly, with 'Las calles' being the only recognizable part, indicating that the meaning of the sentence is mostly lost."
8.0,Puede que llueva mañana todo el día,Puede xxx mañana de todo día,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,2,0.7224,False,"The learner reproduced some words correctly, such as 'puede' and 'mañana', but lost the meaning of 'todo el día' and replaced it with 'de todo día', which still conveys a partial meaning of the original sentence."
9.0,Las casas son muy bonitas pero caras,A las casa es mu-son bonitas,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),1,2,0.6584,False,"The learner reproduced some words correctly, such as 'casas', 'bonitas', and 'mu-', but lost the meaning of the sentence due to incorrect word order and missing words like 'son', 'muy', 'pero', and 'caras'."
10.0,Me gustan las películas que acaban bien,Me gusta las películas que x bien,3,AutoEIT Sample Transcriptions for Scoring(38006-2A),3,2,0.9567,False,"The learner reproduced some words correctly, such as 'Me gusta' and 'las películas', but lost the meaning of 'que acaban bien' due to the incorrect word 'x' and the loss of the verb 'acaban'."
11.0,El chico con el que yo salgo es español,El chico con es el algo (xxx?) es español,3,AutoEIT Sample Transcriptions for Scoring(38006-2A),3,2,0.9216,False,"The learner partially preserved the meaning by correctly reproducing 'el chico', 'con', 'es', and 'español', but lost the phrase 'el que yo salgo' and replaced it with 'con es el algo', indicating some understanding of the sentence structure."
12.0,Después de cenar me fui a dormir tranquilo,Después de fenar mi fui a tranquilo,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,2,0.6276,False,"The learner reproduced some words correctly, such as 'después de', 'fui', and 'a', but made significant errors in others, like 'fenar' instead of 'cenar', and 'mi' instead of 'me', resulting in a partial preservation of the meaning."
13.0,Quiero una casa en la que vivan mis animales,Quienen que en el casa ...muchos animales,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),1,2,0.6632,False,"The learner reproduced some words from the prompt sentence, such as 'casa' and 'animales', but the meaning is partially lost due to incorrect word order and missing words like 'quiero' and 'en la que vivan mis'."
14.0,A nosotros nos fascinan las fiestas grandiosas,A nosotros fanimos [pause] fiestas grandiosas,3,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,3,0.9066,False,"The learner reproduced most of the words correctly, including the phrase 'nosotros' and the adjective 'grandiosas', but replaced the verb 'fascinan' with 'fanimos', which still conveys a similar meaning of being attracted or entertained, thus preserving the overall meaning of the sentence."
15.0,Ella sólo bebe cerveza y no come nada,Ella bebidas cerviamos y no comidas,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,2,0.6103,False,"The learner reproduced some words correctly, such as 'Ella', 'sólo', 'bebe', 'cerveza', 'no', and 'nada', but made significant errors in word choice and form, resulting in a partial preservation of the meaning."
